Ingresos;Gastos;Producto_FK;Pais_FK;fecha
535072,6557;555477,7397;7;IDN;1/1/2017
834234,6837;506365,2851;3;IDN;1/1/2017
2194247,529;2139830,191;5;IDN;1/1/2017
1231676,679;731391,0326;1;IDN;1/1/2017
4662776;4640085,57;4;IDN;1/1/2017
786492,3373;759692,611;6;IDN;1/1/2017
358675,0769;252352,748;2;IDN;1/1/2017
1216075,733;1074671,578;7;IND;1/1/2017
2383508,437;1466774,423;3;IND;1/1/2017
4619202,398;4147855,214;5;IND;1/1/2017
2327644,958;1432396,897;1;IND;1/1/2017
11034761,28;10852155,55;4;IND;1/1/2017
1664461,199;1433286,033;6;IND;1/1/2017
877580,4261;574966,486;2;IND;1/1/2017
9492,261111;8401,196616;7;IRL;1/1/2017
18438,20504;12080,2033;3;IRL;1/1/2017
51258,21;44423,782;5;IRL;1/1/2017
18176,67021;9914,547389;1;IRL;1/1/2017
51775,9697;45138,02486;4;IRL;1/1/2017
14479,72034;12735,17572;6;IRL;1/1/2017
7708,001504;4204,364457;2;IRL;1/1/2017
169782,2344;152096,585;7;IRN;1/1/2017
299035,8065;169020,2384;3;IRN;1/1/2017
671747,1014;547349,4901;5;IRN;1/1/2017
383062,3967;216513,5286;1;IRN;1/1/2017
1571205,085;1524804,449;4;IRN;1/1/2017
260396,3483;232986,2064;6;IRN;1/1/2017
119768,863;65328,47075;2;IRN;1/1/2017
21769,3082;18141,09017;7;ISR;1/1/2017
30777,29781;16787,61698;3;ISR;1/1/2017
70632,79137;58241,07358;5;ISR;1/1/2017
43830,16964;23907,36526;1;ISR;1/1/2017
140256,5429;125797,1054;4;ISR;1/1/2017
30971,47634;27327,77324;6;ISR;1/1/2017
12427,79494;7456,676962;2;ISR;1/1/2017
129895,3573;103916,2858;7;ITA;1/1/2017
203331,6383;125127,162;3;ITA;1/1/2017
704169,5684;633041,3292;5;ITA;1/1/2017
245040,6923;154284,8803;1;ITA;1/1/2017
815806,2073;724142,5885;4;ITA;1/1/2017
215793,9;193996,5364;6;ITA;1/1/2017
89553,0241;48847,10405;2;ITA;1/1/2017
282210,0244;252187,6814;7;JPN;1/1/2017
370246,3878;201952,5751;3;JPN;1/1/2017
933783,1691;839461,6369;5;JPN;1/1/2017
531357,7866;309958,7089;1;JPN;1/1/2017
1443119,443;1271319,509;4;JPN;1/1/2017
341383,0941;302143,658;6;JPN;1/1/2017
165357,4362;93462,89872;2;JPN;1/1/2017
112380,9364;99491,81419;7;KEN;1/1/2017
171965,4597;97551,31534;3;KEN;1/1/2017
416631,7642;356451,6205;5;KEN;1/1/2017
174305,1259;98878,54412;1;KEN;1/1/2017
582337,5795;498180,4068;4;KEN;1/1/2017
161658,3817;131260,2664;6;KEN;1/1/2017
81993,1312;46065,23189;2;KEN;1/1/2017
103534,9352;82647,88739;7;KOR;1/1/2017
222744,4821;144624,8101;3;KOR;1/1/2017
375227,2819;338662,5808;5;KOR;1/1/2017
188881,3007;126224,814;1;KOR;1/1/2017
755525,2027;674306,2434;4;KOR;1/1/2017
163476,2135;152305,3389;6;KOR;1/1/2017
74051,47682;42273,73438;2;KOR;1/1/2017
282169,0774;248386,0947;7;MEX;1/1/2017
398563,8219;253457,0675;3;MEX;1/1/2017
1054053,083;941818,6981;5;MEX;1/1/2017
518457,0041;346472,3013;1;MEX;1/1/2017
2198972,81;1767704,878;4;MEX;1/1/2017
356258,1648;320632,3483;6;MEX;1/1/2017
179381,7482;119876,4924;2;MEX;1/1/2017
65244,02259;58904,88113;7;MYS;1/1/2017
106623,6208;72504,06215;3;MYS;1/1/2017
264781,9917;235967,4808;5;MYS;1/1/2017
154994,3366;104362,8533;1;MYS;1/1/2017
496466,2344;438308,7612;4;MYS;1/1/2017
84730,23733;67219,32162;6;MYS;1/1/2017
41372,1862;28190,1517;2;MYS;1/1/2017
359747,853;310490,07;7;NGA;1/1/2017
643562,7682;403959,3991;3;NGA;1/1/2017
1706326,972;1511446,471;5;NGA;1/1/2017
634776,9283;384674,8186;1;NGA;1/1/2017
3444252,593;3002161,541;4;NGA;1/1/2017
535993,1988;470531,7344;6;NGA;1/1/2017
296634,1946;186195,0021;2;NGA;1/1/2017
11568,62316;10407,36769;7;NOR;1/1/2017
21298,82171;13829,02066;3;NOR;1/1/2017
45414,01653;37959,85382;5;NOR;1/1/2017
18627,44407;10739,12645;1;NOR;1/1/2017
65417,80952;59464,78886;4;NOR;1/1/2017
16403,27164;13895,51723;6;NOR;1/1/2017
9143,254576;5595,6718;2;NOR;1/1/2017
82855,93013;67113,30341;7;PER;1/1/2017
115343,5137;73227,22174;3;PER;1/1/2017
364884,7692;279435,3905;5;PER;1/1/2017
178159,6995;122288,8178;1;PER;1/1/2017
492831,3766;425806,3094;4;PER;1/1/2017
101737,3083;79784,50209;6;PER;1/1/2017
62517,32455;36938,01389;2;PER;1/1/2017
222194,0258;200950,1092;7;PHL;1/1/2017
405177,3412;255261,7249;3;PHL;1/1/2017
776843,7744;727125,7729;5;PHL;1/1/2017
416613,7984;250315,4572;1;PHL;1/1/2017
1435003,083;1314736,158;4;PHL;1/1/2017
304779,4159;280991,7542;6;PHL;1/1/2017
139810,8552;84003,02217;2;PHL;1/1/2017
77344,86095;71060,591;7;POL;1/1/2017
127691,9874;73132,6837;3;POL;1/1/2017
406060,52;376400,4472;5;POL;1/1/2017
173530,1368;118000,493;1;POL;1/1/2017
812121,04;747524,7458;4;POL;1/1/2017
101515,13;82313,65116;6;POL;1/1/2017
51727,45478;31381,32256;2;POL;1/1/2017
20399,98276;18141,20206;7;PRT;1/1/2017
31046,0379;17272,88654;3;PRT;1/1/2017
109781,3505;96921,24946;5;PRT;1/1/2017
50468,20379;33365,09028;1;PRT;1/1/2017
112092,5368;103765,6627;4;PRT;1/1/2017
31598,78635;28115,39633;6;PRT;1/1/2017
15344,07925;9398,248541;2;PRT;1/1/2017
315847,6937;261391,1947;7;RUS;1/1/2017
561643,5642;374429,0428;3;RUS;1/1/2017
1233695,692;1205185,724;5;RUS;1/1/2017
584382,17;367944,3293;1;RUS;1/1/2017
2624407,2;2677655,7;4;RUS;1/1/2017
412406,8457;342507,3803;6;RUS;1/1/2017
221724,1106;145267,5207;2;RUS;1/1/2017
86313,83858;63872,24055;7;SDN;1/1/2017
136596,3551;85600,38255;3;SDN;1/1/2017
356483,1707;266603,9032;5;SDN;1/1/2017
175389,72;109164,9809;1;SDN;1/1/2017
859753,5294;646534,6541;4;SDN;1/1/2017
128584,8387;107255,6629;6;SDN;1/1/2017
64671,72566;36188,04823;2;SDN;1/1/2017
17514,84937;15709,1948;7;SVK;1/1/2017
27270,67752;17531,14984;3;SVK;1/1/2017
93023,31111;79734,26667;5;SVK;1/1/2017
33354,97211;18852,81032;1;SVK;1/1/2017
87209,35417;71353,10795;4;SVK;1/1/2017
22031,83684;19013,777;6;SVK;1/1/2017
11044,98417;6954,249292;2;SVK;1/1/2017
19522,42699;16213,54106;7;SWE;1/1/2017
31527,26269;18916,35761;3;SWE;1/1/2017
78234,31852;70084,91034;5;SWE;1/1/2017
50534,12919;33108,5674;1;SWE;1/1/2017
157636,3134;140313,6416;4;SWE;1/1/2017
28544,95405;24467,10347;6;SWE;1/1/2017
13235,12907;7480,725128;2;SWE;1/1/2017
160307,3105;130620,7715;7;THA;1/1/2017
233174,2698;149897,7449;3;THA;1/1/2017
685451,9483;545563,7956;5;THA;1/1/2017
295585,2268;190019,0743;1;THA;1/1/2017
935440,3059;774157,4945;4;THA;1/1/2017
213743,0806;185244,0032;6;THA;1/1/2017
105175,1667;70116,77778;2;THA;1/1/2017
178934,3831;157113,1169;7;TUR;1/1/2017
306176,6111;188416,3761;3;TUR;1/1/2017
725155,1316;632186,525;5;TUR;1/1/2017
338801,9877;197634,4928;1;TUR;1/1/2017
1102235,8;857294,5111;4;TUR;1/1/2017
222224,9597;193364,5753;6;TUR;1/1/2017
106943,9651;70066,73574;2;TUR;1/1/2017
117215,8414;96284,44114;7;TZA;1/1/2017
178237,0294;118824,6863;3;TZA;1/1/2017
415072,5342;373146,0156;5;TZA;1/1/2017
208249,4502;128153,5078;1;TZA;1/1/2017
1188246,863;1054735,979;4;TZA;1/1/2017
156590,6718;133562,6319;6;TZA;1/1/2017
89381,40118;56277,17852;2;TZA;1/1/2017
107692,3711;88798,97267;7;UKR;1/1/2017
145094,512;91355,80384;3;UKR;1/1/2017
367133,0833;295146,2042;5;UKR;1/1/2017
190793,5709;122653,0098;1;UKR;1/1/2017
515548,5851;420076,6249;4;UKR;1/1/2017
127195,7139;99544,47176;6;UKR;1/1/2017
64272,63528;35057,80106;2;UKR;1/1/2017
3255574,449;2681523,882;7;USA;1/1/2017
4676887,175;2684126,553;3;USA;1/1/2017
14817427,61;12231658,53;5;USA;1/1/2017
6291526,786;3610789,286;1;USA;1/1/2017
21718695,25;16700991,58;4;USA;1/1/2017
4441077,747;3344160,302;6;USA;1/1/2017
2301109,944;1283952,65;2;USA;1/1/2017
72718,28657;64547,69258;7;VEN;1/1/2017
119363,2401;73454,30162;3;VEN;1/1/2017
332902,9817;258924,5413;5;VEN;1/1/2017
149943,905;98239,11015;1;VEN;1/1/2017
471252,2727;390001,8809;4;VEN;1/1/2017
90716,0625;78289,20462;6;VEN;1/1/2017
49981,30165;30757,72409;2;VEN;1/1/2017
64569,90683;56973,4472;7;YEM;1/1/2017
95083,125;58512,69231;3;YEM;1/1/2017
221186,2766;197402,806;5;YEM;1/1/2017
142407,6027;91547,74462;1;YEM;1/1/2017
328287;268598,4545;4;YEM;1/1/2017
102928,2673;92093,71287;6;YEM;1/1/2017
42374,00136;24718,16746;2;YEM;1/1/2017
138475,1878;110384,5068;7;ZAF;1/1/2017
213802,0814;131672,5922;3;ZAF;1/1/2017
525097,912;458410,4772;5;ZAF;1/1/2017
320181,6537;193481,1993;1;ZAF;1/1/2017
669767,7449;540925,5813;4;ZAF;1/1/2017
199505,2857;165190,3766;6;ZAF;1/1/2017
104020,981;54090,91011;2;ZAF;1/1/2017
10220,62461;8451,949147;7;NZL;1/1/2017
17393,49291;9401,111043;3;NZL;1/1/2017
48761,24508;40748,76678;5;NZL;1/1/2017
21122,21989;14180,96864;1;NZL;1/1/2017
62011,58341;55047,0249;4;NZL;1/1/2017
17603,08029;15423,33044;6;NZL;1/1/2017
6731,771843;4394,145577;2;NZL;1/1/2017
68775,98911;58510,91611;7;AGO;1/1/2018
97432,65123;62635,27579;3;AGO;1/1/2018
210454,5267;188979,575;5;AGO;1/1/2018
148207,4131;91204,56194;1;AGO;1/1/2018
444622,2394;353883,0069;4;AGO;1/1/2018
79118,24311;68426,58863;6;AGO;1/1/2018
44213,13585;28967,22694;2;AGO;1/1/2018
88128,95446;74776,08257;7;ARG;1/1/2018
171379,9225;105464,5677;3;ARG;1/1/2018
464439,59;404122,7601;5;ARG;1/1/2018
178630,6115;114833,9646;1;ARG;1/1/2018
844435,6182;710398,2185;4;ARG;1/1/2018
140739,2697;126523,1818;6;ARG;1/1/2018
65971,53267;40597,86626;2;ARG;1/1/2018
52868,73945;42049,09045;7;AUS;1/1/2018
89205,7678;50549,93509;3;AUS;1/1/2018
205810,45;152152,7255;5;AUS;1/1/2018
112552,5898;59090,10967;1;AUS;1/1/2018
364727,3797;283895,9064;4;AUS;1/1/2018
84496,95894;67957,12868;6;AUS;1/1/2018
43328,51579;23997,33182;2;AUS;1/1/2018
18579,96623;15630,76524;7;AUT;1/1/2018
38533,54864;24771,56698;3;AUT;1/1/2018
89217,31532;77321,67327;5;AUT;1/1/2018
43245,07424;28830,04949;1;AUT;1/1/2018
101052,2653;83629,46094;4;AUT;1/1/2018
27739,83754;24587,58327;6;AUT;1/1/2018
14436,0379;7874,202491;2;AUT;1/1/2018
31525,60646;26599,73045;7;BEL;1/1/2018
49797,2042;31353,79524;3;BEL;1/1/2018
127557,4538;99211,35299;5;BEL;1/1/2018
69382,71548;39216,31745;1;BEL;1/1/2018
267459,1774;233603,5853;4;BEL;1/1/2018
41980,93418;36666,89188;6;BEL;1/1/2018
21676,43007;13934,8479;2;BEL;1/1/2018
443702,703;392109,3654;7;BRA;1/1/2018
644884,6739;429923,1159;3;BRA;1/1/2018
2232826,505;1819340,115;5;BRA;1/1/2018
786563,8826;471938,3295;1;BRA;1/1/2018
2696790,455;2223669,322;4;BRA;1/1/2018
532443,2436;478112,3004;6;BRA;1/1/2018
317027,2748;203803,2481;2;BRA;1/1/2018
1025815,262;894300,4851;7;CAN;1/1/2018
1976479,223;1185887,534;3;CAN;1/1/2018
5679777,137;5034347,917;5;CAN;1/1/2018
2020894,487;1324034,319;1;CAN;1/1/2018
6580229,61;5757700,909;4;CAN;1/1/2018
1573116,117;1371434,563;6;CAN;1/1/2018
698936,3057;381237,9849;2;CAN;1/1/2018
18974,7462;17058,10517;7;CHE;1/1/2018
34850,03187;21446,17346;3;CHE;1/1/2018
84925,80583;76079,36772;5;CHE;1/1/2018
39760,71818;26507,14545;1;CHE;1/1/2018
105389,8554;82966,48193;4;CHE;1/1/2018
21868,395;19438,57333;6;CHE;1/1/2018
12425,22443;7646,291958;2;CHE;1/1/2018
47351,89697;41577,27539;7;CHL;1/1/2018
91559,33203;57648,46832;3;CHL;1/1/2018
162772,1458;144686,3519;5;CHL;1/1/2018
99318,59746;66212,39831;1;CHL;1/1/2018
411213,8421;340314,9038;4;CHL;1/1/2018
76349,14984;66805,50611;6;CHL;1/1/2018
29973,38747;18872,13285;2;CHL;1/1/2018
2447334,38;2168185,302;7;CHN;1/1/2018
4963194,108;3126812,288;3;CHN;1/1/2018
10170479,74;9554898,076;5;CHN;1/1/2018
6112308,006;4278615,604;1;CHN;1/1/2018
18247037,18;15798092,71;4;CHN;1/1/2018
3515009,999;3114079,171;6;CHN;1/1/2018
1584672,447;1069653,902;2;CHN;1/1/2018
53875,41602;45043,3806;7;CMR;1/1/2018
79954,24058;53302,82705;3;CMR;1/1/2018
303123,2198;258546,2757;5;CMR;1/1/2018
101786,7638;55520,053;1;CMR;1/1/2018
475589,8793;410440,5808;4;CMR;1/1/2018
75989,56749;59102,99694;6;CMR;1/1/2018
37225,65857;22335,39514;2;CMR;1/1/2018
106664,4933;94115,72937;7;COL;1/1/2018
177546,9681;109259,6726;3;COL;1/1/2018
604045,663;472731,3885;5;COL;1/1/2018
229637,1942;125256,6514;1;COL;1/1/2018
677709,7683;568401,7411;4;COL;1/1/2018
162018,0787;144963,5441;6;COL;1/1/2018
73025,23127;42598,05158;2;COL;1/1/2018
9601,704587;7467,992457;7;CRI;1/1/2018
15574,19345;8495,01461;3;CRI;1/1/2018
47143,5045;42128,23807;5;CRI;1/1/2018
21358,89388;12072,41828;1;CRI;1/1/2018
61563,87059;54234,83838;4;CRI;1/1/2018
14658,06443;12802,61323;6;CRI;1/1/2018
7061,982456;4119,489766;2;CRI;1/1/2018
19575,1184;15410,19959;7;CZE;1/1/2018
35942,27425;20315,19849;3;CZE;1/1/2018
87371,86992;76970,45683;5;CZE;1/1/2018
52680,09804;32418,52187;1;CZE;1/1/2018
202768,6792;179190,9258;4;CZE;1/1/2018
30530,51136;27021,25718;6;CZE;1/1/2018
14029,68668;9191,86369;2;CZE;1/1/2018
1348994,563;1117632,756;7;DEU;1/1/2018
2792471,235;1723353,677;3;DEU;1/1/2018
5741320,86;4582994,579;5;DEU;1/1/2018
2749674,741;1451828,263;1;DEU;1/1/2018
11213517,3;9062352,761;4;DEU;1/1/2018
2256808,514;1877902,243;6;DEU;1/1/2018
1060066,629;661027,2619;2;DEU;1/1/2018
21781,4952;20583,51297;7;DOM;1/1/2018
37207,07869;22730,14262;3;DOM;1/1/2018
81058,27857;75526,40658;5;DOM;1/1/2018
38468,33559;24004,24141;1;DOM;1/1/2018
180129,5079;168942,5174;4;DOM;1/1/2018
29097,84359;26401,83931;6;DOM;1/1/2018
15761,33194;9977,608396;2;DOM;1/1/2018
82729,12684;72498,67989;7;DZA;1/1/2018
153077,0238;91080,82917;3;DZA;1/1/2018
405447,2523;329998,8071;5;DZA;1/1/2018
166068,8007;99779,67111;1;DZA;1/1/2018
725881,371;683600,6519;4;DZA;1/1/2018
143326,8949;140284,8547;6;DZA;1/1/2018
71663,44745;46867,89463;2;DZA;1/1/2018
33601,78987;33605,65214;7;ECU;1/1/2018
56856,3619;38137,49814;3;ECU;1/1/2018
182752,5918;182364,9348;5;ECU;1/1/2018
86104,58654;54245,88952;1;ECU;1/1/2018
284281,8095;264430,2662;4;ECU;1/1/2018
52831,13274;52876,09541;6;ECU;1/1/2018
29216,56444;19107,63314;2;ECU;1/1/2018
198841,1573;192591,8638;7;EGY;1/1/2018
340209,9535;222497,3096;3;EGY;1/1/2018
706228,9379;644499,2974;5;EGY;1/1/2018
371026,0725;247625,5491;1;EGY;1/1/2018
1765572,345;1765775,284;4;EGY;1/1/2018
261900,757;234798,4427;6;EGY;1/1/2018
146919,9369;99453,49573;2;EGY;1/1/2018
88140,25181;69669,12078;7;ESP;1/1/2018
182907,5902;111939,4452;3;ESP;1/1/2018
446361,6422;376790,7931;5;ESP;1/1/2018
215280,615;127764,365;1;ESP;1/1/2018
640176,5658;588162,2198;4;ESP;1/1/2018
146989,1813;145019,2232;6;ESP;1/1/2018
65131,75234;43545,22871;2;ESP;1/1/2018
17880,96234;16250,63931;7;FIN;1/1/2018
31655,92593;22522,60508;3;FIN;1/1/2018
71824,36975;68676,3229;5;FIN;1/1/2018
39027,85388;25498,19787;1;FIN;1/1/2018
120381,6901;119177,8732;4;FIN;1/1/2018
22028,60825;18208,75384;6;FIN;1/1/2018
12495,76023;7872,328947;2;FIN;1/1/2018
149404,4649;121602,2427;7;FRA;1/1/2018
270570,9725;159048,676;3;FRA;1/1/2018
803430,1327;729782,3705;5;FRA;1/1/2018
343825,9956;216610,3772;1;FRA;1/1/2018
1078577,438;981756,3009;4;FRA;1/1/2018
203979,671;169695,3955;6;FRA;1/1/2018
123993,9417;74499,69332;2;FRA;1/1/2018
152016,5872;127751,3955;7;GBR;1/1/2018
245941,1214;151804,9758;3;GBR;1/1/2018
637625,1296;592055,5586;5;GBR;1/1/2018
232647,0068;137283,2221;1;GBR;1/1/2018
1059438,677;982320,5465;4;GBR;1/1/2018
193436,8371;174409,8058;6;GBR;1/1/2018
101568,6047;69953,24706;2;GBR;1/1/2018
31091,21063;27715,27045;7;GRC;1/1/2018
61367,29588;46823,24676;3;GRC;1/1/2018
148955,1636;146539,5546;5;GRC;1/1/2018
74477,58182;51143,75543;1;GRC;1/1/2018
195060,3333;187538,5331;4;GRC;1/1/2018
41586,46701;37274,99004;6;GRC;1/1/2018
21306,98049;15557,37376;2;GRC;1/1/2018
40153,49237;34721,3426;7;GTM;1/1/2018
65823,04643;43526,5865;3;GTM;1/1/2018
